Id,CustomerId,EmployeeId,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry
10248,VINET,5,07/04/2012 00:00:00,2012-08-01,2012-07-16,3,0x31362E3735,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,Western Europe,51100,France
10249,TOMSP,6,07/05/2012 00:00:00,2012-08-16,2012-07-10,1,0x32322E3235,Toms Spezialitäten,Luisenstr. 48,Münster,Western Europe,44087,Germany
10250,HANAR,4,07/08/2012 00:00:00,2012-08-05,2012-07-12,2,0x3235,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,South America,05454-876,Brazil
10251,VICTE,3,07/08/2012 00:00:00,2012-08-05,2012-07-15,1,0x32302E3235,Victuailles en stock,"2, rue du Commerce",Lyon,Western Europe,69004,France
10252,SUPRD,4,07/09/2012 00:00:00,2012-08-06,2012-07-11,2,0x33362E3235,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,Western Europe,B-6000,Belgium
10253,HANAR,3,07/10/2012 00:00:00,2012-07-24,2012-07-16,2,0x33352E35,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,South America,05454-876,Brazil
10254,CHOPS,5,07/11/2012 00:00:00,2012-08-08,2012-07-23,2,0x32342E3235,Chop-suey Chinese,Hauptstr. 31,Bern,Western Europe,3012,Switzerland
10255,RICSU,9,07/12/2012 00:00:00,2012-08-09,2012-07-15,3,0x33372E35,Richter Supermarkt,Starenweg 5,Genève,Western Europe,1204,Switzerland
10256,WELLI,3,07/15/2012 00:00:00,2012-08-12,2012-07-17,2,0x31362E3735,Wellington Importadora,"Rua do Mercado, 12",Resende,South America,08737-363,Brazil
10257,HILAA,4,07/16/2012 00:00:00,2012-08-13,2012-07-22,3,0x32312E35,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,South America,5022,Venezuela
10258,ERNSH,1,07/17/2012 00:00:00,2012-08-14,2012-07-23,1,0x34302E3235,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria
10259,CENTC,4,07/18/2012 00:00:00,2012-08-15,2012-07-25,3,0x31322E3735,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,Central America,05022,Mexico
10260,OTTIK,4,07/19/2012 00:00:00,2012-08-16,2012-07-29,1,0x33352E35,Ottilies Käseladen,Mehrheimerstr. 369,Köln,Western Europe,50739,Germany
10261,QUEDE,4,07/19/2012 00:00:00,2012-08-16,2012-07-30,2,0x3230,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,South America,02389-673,Brazil
10262,RATTC,8,07/22/2012 00:00:00,2012-08-19,2012-07-25,3,0x31372E3235,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA
10263,ERNSH,9,07/23/2012 00:00:00,2012-08-20,2012-07-31,3,0x3536,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria
10264,FOLKO,6,07/24/2012 00:00:00,2012-08-21,2012-08-23,3,0x3235,Folk och fä HB,Åkergatan 24,Bräcke,Northern Europe,S-844 67,Sweden
10265,BLONP,2,07/25/2012 00:00:00,2012-08-22,2012-08-12,1,0x32322E35,Blondel père et fils,"24, place Kléber",Strasbourg,Western Europe,67000,France
10266,WARTH,3,07/26/2012 00:00:00,2012-09-06,2012-07-31,3,0x3133,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland
10267,FRANK,4,07/29/2012 00:00:00,2012-08-26,2012-08-06,1,0x34332E3735,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany
10268,GROSR,8,07/30/2012 00:00:00,2012-08-27,2012-08-02,3,0x31332E35,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,South America,1081,Venezuela
10269,WHITC,5,07/31/2012 00:00:00,2012-08-14,2012-08-09,1,0x3330,White Clover Markets,1029 - 12th Ave. S.,Seattle,North America,98124,USA
10270,WARTH,1,08/01/2012 00:00:00,2012-08-29,2012-08-02,1,0x32332E3735,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland
10271,SPLIR,6,08/01/2012 00:00:00,2012-08-29,2012-08-30,2,0x3136,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,82520,USA
10272,RATTC,6,08/02/2012 00:00:00,2012-08-30,2012-08-06,2,0x32372E35,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA
10273,QUICK,3,08/05/2012 00:00:00,2012-09-02,2012-08-12,3,0x3438,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany
10274,VINET,6,08/06/2012 00:00:00,2012-09-03,2012-08-16,1,0x31362E3735,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,Western Europe,51100,France
10275,MAGAA,1,08/07/2012 00:00:00,2012-09-04,2012-08-09,1,0x31342E35,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,Southern Europe,24100,Italy
10276,TORTU,8,08/08/2012 00:00:00,2012-08-22,2012-08-14,3,0x31362E3235,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,05033,Mexico
10277,MORGK,2,08/09/2012 00:00:00,2012-09-06,2012-08-13,3,0x3138,Morgenstern Gesundkost,Heerstr. 22,Leipzig,Western Europe,04179,Germany
10278,BERGS,8,08/12/2012 00:00:00,2012-09-09,2012-08-16,2,0x3236,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden
10279,LEHMS,8,08/13/2012 00:00:00,2012-09-10,2012-08-16,2,0x31332E3735,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,60528,Germany
10280,BERGS,2,08/14/2012 00:00:00,2012-09-11,2012-09-12,1,0x32352E35,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden
10281,ROMEY,4,08/14/2012 00:00:00,2012-08-28,2012-08-21,1,0x31322E3735,Romero y tomillo,"Gran Vía, 1",Madrid,Southern Europe,28001,Spain
10282,ROMEY,4,08/15/2012 00:00:00,2012-09-12,2012-08-21,1,0x3132,Romero y tomillo,"Gran Vía, 1",Madrid,Southern Europe,28001,Spain
10283,LILAS,3,08/16/2012 00:00:00,2012-09-13,2012-08-23,3,0x3239,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela
10284,LEHMS,4,08/19/2012 00:00:00,2012-09-16,2012-08-27,1,0x32352E3235,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,60528,Germany
10285,QUICK,1,08/20/2012 00:00:00,2012-09-17,2012-08-26,2,0x34302E3235,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany
10286,QUICK,8,08/21/2012 00:00:00,2012-09-18,2012-08-30,3,0x3435,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany
10287,RICAR,8,08/22/2012 00:00:00,2012-09-19,2012-08-28,3,0x32382E3735,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,South America,02389-890,Brazil
10288,REGGC,4,08/23/2012 00:00:00,2012-09-20,2012-09-03,1,0x31332E3235,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,Southern Europe,42100,Italy
10289,BSBEV,7,08/26/2012 00:00:00,2012-09-23,2012-08-28,3,0x31392E3735,B's Beverages,Fauntleroy Circus,London,British Isles,EC2 5NT,UK
10290,COMMI,8,08/27/2012 00:00:00,2012-09-24,2012-09-03,1,0x3235,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,South America,05432-043,Brazil
10291,QUEDE,6,08/27/2012 00:00:00,2012-09-24,2012-09-04,2,0x32312E35,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,South America,02389-673,Brazil
10292,TRADH,1,08/28/2012 00:00:00,2012-09-25,2012-09-02,2,0x3135,Tradiçao Hipermercados,"Av. Inês de Castro, 414",Sao Paulo,South America,05634-030,Brazil
10293,TORTU,1,08/29/2012 00:00:00,2012-09-26,2012-09-11,3,0x31382E3235,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,05033,Mexico
10294,RATTC,4,08/30/2012 00:00:00,2012-09-27,2012-09-05,2,0x32382E3735,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA
10295,VINET,2,09/02/2012 00:00:00,2012-09-30,2012-09-10,2,0x3131,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,Western Europe,51100,France
10296,LILAS,6,09/03/2012 00:00:00,2012-10-01,2012-09-11,1,0x32342E3235,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela
10297,BLONP,5,09/04/2012 00:00:00,2012-10-16,2012-09-10,2,0x3330,Blondel père et fils,"24, place Kléber",Strasbourg,Western Europe,67000,France
10298,HUNGO,6,09/05/2012 00:00:00,2012-10-03,2012-09-11,2,0x34312E3235,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland
10299,RICAR,4,09/06/2012 00:00:00,2012-10-04,2012-09-13,2,0x31382E3735,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,South America,02389-890,Brazil
10300,MAGAA,2,09/09/2012 00:00:00,2012-10-07,2012-09-18,2,0x32322E35,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,Southern Europe,24100,Italy
10301,WANDK,8,09/09/2012 00:00:00,2012-10-07,2012-09-17,2,0x31372E35,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Western Europe,70563,Germany
10302,SUPRD,4,09/10/2012 00:00:00,2012-10-08,2012-10-09,2,0x3330,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,Western Europe,B-6000,Belgium
10303,GODOS,7,09/11/2012 00:00:00,2012-10-09,2012-09-18,2,0x33312E3235,Godos Cocina Típica,"C/ Romero, 33",Sevilla,Southern Europe,41101,Spain
10304,TORTU,1,09/12/2012 00:00:00,2012-10-10,2012-09-17,2,0x32302E35,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,05033,Mexico
10305,OLDWO,8,09/13/2012 00:00:00,2012-10-11,2012-10-09,3,0x3330,Old World Delicatessen,2743 Bering St.,Anchorage,North America,99508,USA
10306,ROMEY,1,09/16/2012 00:00:00,2012-10-14,2012-09-23,3,0x31362E3235,Romero y tomillo,"Gran Vía, 1",Madrid,Southern Europe,28001,Spain
10307,LONEP,2,09/17/2012 00:00:00,2012-10-15,2012-09-25,2,0x31332E3235,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,North America,97219,USA
10308,ANATR,7,09/18/2012 00:00:00,2012-10-16,2012-09-24,3,0x31312E35,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,Central America,05021,Mexico
10309,HUNGO,3,09/19/2012 00:00:00,2012-10-17,2012-10-23,1,0x32382E3735,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland
10310,THEBI,8,09/20/2012 00:00:00,2012-10-18,2012-09-27,2,0x31332E3735,The Big Cheese,89 Jefferson Way Suite 2,Portland,North America,97201,USA
10311,DUMO,1,09/20/2012 00:00:00,2012-10-04,2012-09-26,3,0x31332E3235,Du monde entier,"67, rue des Cinquante Otages",Nantes,Western Europe,44000,France
10312,WANDK,2,09/23/2012 00:00:00,2012-10-21,2012-10-03,2,0x32342E35,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Western Europe,70563,Germany
10313,QUICK,2,09/24/2012 00:00:00,2012-10-22,2012-10-04,2,0x3133,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany
10314,RATTC,1,09/25/2012 00:00:00,2012-10-23,2012-10-04,2,0x33332E3735,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA
10315,ISLAT,4,09/26/2012 00:00:00,2012-10-24,2012-10-03,2,0x3231,Island Trading,Garden House Crowther Way,Cowes,British Isles,PO31 7PJ,UK
10316,RATTC,1,09/27/2012 00:00:00,2012-10-25,2012-10-08,3,0x3330,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA
10317,LONEP,6,09/30/2012 00:00:00,2012-10-28,2012-10-10,1,0x3135,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,North America,97219,USA
10318,ISLAT,8,10/01/2012 00:00:00,2012-10-29,2012-10-04,2,0x31362E35,Island Trading,Garden House Crowther Way,Cowes,British Isles,PO31 7PJ,UK
10319,TORTU,7,10/02/2012 00:00:00,2012-10-30,2012-10-11,3,0x3233,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,05033,Mexico
10320,WARTH,5,10/03/2012 00:00:00,2012-10-17,2012-10-18,3,0x31372E35,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland
10321,ISLAT,3,10/03/2012 00:00:00,2012-10-31,2012-10-11,2,0x31322E35,Island Trading,Garden House Crowther Way,Cowes,British Isles,PO31 7PJ,UK
10322,PERIC,7,10/04/2012 00:00:00,2012-11-01,2012-10-23,3,0x3135,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,Central America,05033,Mexico
10323,KOENE,4,10/07/2012 00:00:00,2012-11-04,2012-10-14,1,0x31332E3235,Königlich Essen,Maubelstr. 90,Brandenburg,Western Europe,14776,Germany
10324,SAVEA,9,10/08/2012 00:00:00,2012-11-05,2012-10-10,1,0x37302E3235,Save-a-lot Markets,187 Suffolk Ln.,Boise,North America,83720,USA
10325,KOENE,1,10/09/2012 00:00:00,2012-10-23,2012-10-14,3,0x32372E3735,Königlich Essen,Maubelstr. 90,Brandenburg,Western Europe,14776,Germany
10326,BOLID,4,10/10/2012 00:00:00,2012-11-07,2012-10-14,2,0x33322E35,Bólido Comidas preparadas,"C/ Araquil, 67",Madrid,Southern Europe,28023,Spain
10327,FOLKO,2,10/11/2012 00:00:00,2012-11-08,2012-10-14,1,0x3435,Folk och fä HB,Åkergatan 24,Bräcke,Northern Europe,S-844 67,Sweden
10328,FURIB,4,10/14/2012 00:00:00,2012-11-11,2012-10-17,3,0x32342E3735,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,Southern Europe,1675,Portugal
10329,SPLIR,4,10/15/2012 00:00:00,2012-11-26,2012-10-23,2,0x32322E35,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,82520,USA
10330,LILAS,3,10/16/2012 00:00:00,2012-11-13,2012-10-28,1,0x32382E3735,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela
10331,BONAP,9,10/16/2012 00:00:00,2012-11-27,2012-10-21,1,0x31332E3735,Bon app',"12, rue des Bouchers",Marseille,Western Europe,13008,France
